"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0x63dae0946a44eeead00c8b30ec206fda63f7dfe1","1","1","No"
"0xea91b0ede5f7c641d9723bef624480e9dff6f8a7","1","1","No"
"0x4298868b068024d5868502beb075eea0ec28909c","1","1","No"
"0x4ba065b10d9f3e4960a53efa882a940fd3999a73","1","1","No"
"0x8cbf7a00de4327f173c2a83ff8a6ff63ddadbcf2","1","1","No"
"0x11d67fa925877813b744abc0917900c2b1d6eb81","1","1","No"
"0x555a457351906003d7fd58e9fa7fb3eec54f83c9","1","1","No"
"0x3a409eff50a47aeef294e3f0bb3874490dd99abc","1","1","No"
"0xcc49a6d063ba72929600d1ed60d863a540b2565a","1","1","No"
"0x8c0401f98d71d738ee93d81b2992285794fe9e5e","1","1","No"
"0x19dfdc194bb5cf599af78b1967dbb3783c590720","1","1","No"
"0x83f68939de5b679299de9d72b40a6e4688b6c587","1","1","No"
"0xd8b9744740dcb891c410a7f2e510f8286337a4b0","1","1","No"
"0xbb6ef5bcfbd436606c0b45a107d4821f3ad70d43","1","1","No"
"0x3aff5ae7a64450f96425c90c4ba928b9db8fbfc3","1","1","No"
"0xa184cc62fc6c6388341d436d9a5aed88da371317","1","1","No"
"0xfa9d5db5e803c09327ddf7d28102cb6790e9f4e9","1","1","No"
"0xc070dc5ef504970982570ee0072e235f21a47029","1","1","No"
"0x2ba9b338a883621f3ebe882251a8ff0a6612b9f6","1","1","No"
"0x55cd3aa91384501b59d1b8e7796eeece52e25a14","1","1","No"
"0x9b458316b2a460108b5883a5c76c4a712600d721","1","1","No"
"0x2acfadbba99b56cb42d7d9cd49aa745e58a0a2b7","1","1","No"
"0xfb4a5ae508dc15e2e1172bae69fb8ad18cc81d73","1","1","No"
"0xb41b47346fb761d3af5e3c0ee6cd3b75a9c12c42","1","1","No"
"0x2b3ae0ce46154dfb3c77973c2727d157cc7ee1fb","1","1","No"
"0xc7229cbbb10dfa06e0cade96c03d9128fc80d1fd","1","1","No"
"0xa8118f0f761eaaf894fb3d54443c9622e191e32f","1","1","No"
"0x3cd15ba0910272dbc2e70a142c7c9c5ec76372b6","1","1","No"
"0x3a5497c6981156f50749c0c8e9fc9def771ed9a0","1","1","No"
"0x4ffb72b66eba24521736924f87dfe10677d82286","1","1","No"
"0x80f70b68e8742f4caefd541b086902ee8d556495","1","1","No"
"0x3a4c04aa3d7b338c035a501722d677b3a541dbfc","1","1","No"
"0xfcf2d8dbe2a5ed88739b4658ed8eb10fb3512c7f","1","1","No"
"0xa49b22e13347d1355d72c1dfcddfeb0803edfee6","1","1","No"
"0xb42573ddb86b68429c8f791ed0f2b79d2ca95588","1","1","No"
"0x12669fb6daee5d1948e81542e9954a3bb992b009","1","1","No"
"0x284b36522e6938f7c05251aa7704016d417538f3","1","1","No"
"0x1c47b2dd29e500e6535592dd617792c3118e1c1c","1","1","No"
"0x31f30e341029b49c3ce9d7ca4c6fede7f2425a7e","1","1","No"
"0xf9328adf2ad24f0a411dc6d67c5cca9cb2b4c286","1","1","No"
"0xbc1eb4359ab755af079f6ef77e3faac465e53eda","1","1","No"
"0x64f8e38e19c1b6992969dcd5769c149951018af1","1","1","No"
"0x63c7758b14545ff35186418729bfea18984e0d7d","1","1","No"
"0xb6bd1b9b3e6e3512bb354789289f6d8fbc0f65bc","1","1","No"
"0x777fce64e2ae9d2712c6dd0bc7ca8e6883ae752c","1","1","No"
"0x15b00c5f27298e0503c2aad79024f535c90a27b0","1","1","No"
"0x7e5b9cb6905c5ba18db919e08ded5a2d1dd8809f","1","1","No"
"0x9534913cad2715dfaf1bf5c3d25eae6a9ce8f39f","1","1","No"
"0xdaa42df87c233d058543640e3b3c72e931c51c5f","1","1","No"
"0x29ab02016fd6a2c6fe199f8a2c28c1dd8735dd81","1","1","No"
"0x867df8ae5fbe11bdeb0c6ca5f116dbb8a57b51d3","1","1","No"
"0x7ec53ea38843535fa3514623c613f8bf8b88b915","1","1","No"
"0xb1328907b14700379905d6d733fb0b31e46f3d62","1","1","No"
"0xa25f2d38cb91f53136c25e553641e341d1cbd07f","1","1","No"
"0xafc68fea4556ce538a27804ae82f7e601df38bfc","1","1","No"
"0x940f5293be23c4d06f9f561f2df79457d3782e1e","1","1","No"
"0x8fad9c07e4b3357073bf62ef7d091bcff4ef4011","1","1","No"
"0xc9e704f50000aa78cb3830586b94e27c3755b87b","1","1","No"
"0x3bb8d70932685e75fb11c166b2c30f5b0a0c959e","1","1","No"
"0x1778cb9fd8d489c740568a9bf16004d948d9b6bf","1","1","No"
"0x0b14307ec91297168cfba36730e4d95618e698c7","1","1","No"
"0x354908c727bfbe01442489eebcd01747256c9fd5","1","1","No"
"0xd582bf4e7a38ccb3990f86b48de6ca78eabb0d75","1","1","No"
"0xf20156bc371a91f3394569eef3be43db3e110833","1","1","No"
"0x6331351a6ee4e4684bdce0d622397a806c06d163","1","1","No"
"0x0ae3d5949202165584a270cbac7a733b0307a766","1","1","No"
"0x69e4cf9a2c778fb5b08f14f65cfa2f425dca3eac","1","1","No"
"0xd6f1875bc1b9d0e8bcec7da22a22bdb359082ae7","1","1","No"
"0x498e57a8a689523c957b79692d4dc81b7eafd203","1","1","No"
"0xdd15553673126d386f9e735d0cc56a96e59cc095","1","1","No"
"0x7565deddcb83a14b185eb9520914bb918cdfe983","1","1","No"
"0x2ecc650e73d984db98c2d239108d2931bdab7028","1","1","No"
"0xb92505a3364b7c7e333c05b44ce1e55377fc43ca","1","1","No"
"0x852ee519d3cd3a55bf16b9b500f04dea598a1772","1","1","No"
"0xe3167009ff99d45183da7aa9cd2d29dc18f4f5f2","1","1","No"
"0x8d452c1f4bae385b13933c83ecff70d74229915f","1","1","No"
"0x5bc82eb053bc927de5a549b1e1e5fbed22de0df1","1","1","No"
"0xac5cf02051fd3aa995d9b7195d679242186d2f05","1","1","No"
"0xf8e58bb6d7897441c2b39d0fdf4d72a2635d8f0a","1","1","No"
"0x0d4f0f044dc5e2b059f11c6a5024d97e05e8f85e","1","1","No"
"0x4519f0b6d70efab9b348c6dd4a79ebfbd5df1231","1","1","No"
"0xe76183d03fcad988f74a2645c122b06b467f6649","1","1","No"
"0x451ff7b74676268823ccc0886d8305aff49d166a","1","1","No"
"0x468c2dac680f0600bf8c86b6a8bbffc81f82f159","1","1","No"
"0xf3e112e0c32e7a30da87517e98a22103ade76d01","1","1","No"
"0x9fb438f1a292fbdaf4f569a8f2e2e2972c0172ec","1","1","No"
"0xbafa0473d874776a59c2542556c2022035eaf3ba","1","1","No"
"0x7442ecc6c7545001fa111b2536bbc1162b01646f","1","1","No"
"0x481ba80800e7d0845718adf42d3fde34e8687a0e","1","1","No"
"0xb439b0844d0d9af237ff37dc2379f07b6cd06171","1","1","No"
"0x1b123ba1388281a2974c1607adc6eac54b37e914","1","1","No"
"0xbdbc9751d73f29cfddb285eba08ffdb7b3395dfe","1","1","No"
"0x50a259a4ac82ff596ac929bbe120846677f04384","1","1","No"
"0x339ae9545e7e1470f1dac54eed56afb6e1377d2f","1","1","No"
"0xe75b59681e9edb918d0ca4e773c788a3df79bf51","1","1","No"
"0xe9e20bd38bfc5df4bdb1846e16c36e23afd0c347","1","1","No"
"0x4dce3bb119fd5785f5f40b1394fb9b3f4d78096b","1","1","No"
"0x614d98a57a5d879d717152de0690ed2b04562ade","1","1","No"
"0xdef04fb11f17693feae3362b2c1e17989d8456e3","1","1","No"
"0x294b7bfd2cdc6b2ebeb039bacc1bd67eb60be74c","1","1","No"
